,movieCd,movieNm,movieNmEn,prdtYear,openDt,typeNm,prdtStatNm,nationAlt,genreAlt,repNationNm,repGenreNm,directors,companys,openYear
24428,20030071,어벤던,Abandon,2003,20030530,장편,개봉,미국,"범죄,드라마,미스터리",미국,범죄,[{'peopleNm': '스티븐 개건'}],월트디즈니코리아㈜,2003
24432,20020018,리크루트,The Recruit,2002,20030314,장편,개봉,미국,"범죄,스릴러",미국,범죄,[{'peopleNm': '로저 도널드슨'}],월트디즈니컴퍼니코리아(주),2003
24436,20020004,보물성,Treasure Planet ,2002,20030101,장편,개봉,미국,"어드벤처,판타지,SF",미국,어드벤처,"[{'peopleNm': '론 클레멘츠'}, {'peopleNm': '존 머스커'}]",월트디즈니,2003
24465,20010169,리멤버 타이탄,Remember The Titans,2000,20010414,장편,개봉,미국,드라마,미국,드라마,[{'peopleNm': '보아즈 야킨'}],월트 디즈니 픽쳐스,2001
24539,20020124,피터팬의 리턴 투 네버랜드,Return To Neverland,2002,20020502,장편,개봉,미국,드라마,미국,드라마,"[{'peopleNm': '로빈 버드 '}, {'peopleNm': '도노반 쿡 '}]",월트디즈니,2002
24671,20040550,헌티드 맨션,The Haunted Mansion,2003,20040415,장편,개봉,미국,코미디,미국,코미디,[{'peopleNm': '롭 민코프'}],월트디즈니컴퍼니코리아(주),2004
24703,20050165,허비,Herbie: Fully Loaded,2005,20050819,장편,개봉,미국,"코미디,가족,판타지",미국,코미디,[{'peopleNm': '안젤라 로빈슨'}],월트 디즈니 픽쳐스,2005
24782,20050338,"나니아 연대기-사자,마녀 그리고 옷장","The Chronicles of Narnia: The Lion, the Witch & the Wardrobe",2005,20051229,장편,개봉,미국,"가족,어드벤처,판타지",미국,가족,[{'peopleNm': '앤드류 아담슨'}],월트 디즈니 픽쳐스,2005
24850,20100193,페르시아의 왕자: 시간의 모래,Prince Of Persia: The Sands Of Time,2010,20100527,장편,개봉,미국,"액션,어드벤처,판타지",미국,액션,[{'peopleNm': '마이크 뉴웰'}],월트 디즈니 픽쳐스,2010
25153,20050126,패시파이어,The Pacifier,2005,20050603,장편,개봉,미국,"액션,코미디",미국,액션,[{'peopleNm': '아담 쉥크만'}],월트 디즈니 픽쳐스,2005
25172,20090930,이상한 나라의 앨리스,Alice In Wonderland,2010,20100304,장편,개봉,미국,"판타지,어드벤처,가족",미국,판타지,[{'peopleNm': '팀 버튼 '}],월트 디즈니 픽쳐스,2010
25435,19950078,정글북 ,Jungle Book,1995,19950128,장편,개봉,미국,드라마,미국,드라마,[{'peopleNm': '스티븐 소머즈'}],월트 디즈니 픽쳐스,1995
25678,19960218,월트디즈니의 노틀담의 꼽추 ,Hunchback Of Notre Dame,1996,19960706,장편,개봉,미국,"애니메이션,가족,코미디,뮤지컬",미국,애니메이션,"[{'peopleNm': '게리 트러스데일'}, {'peopleNm': '커크 와이즈'}]",월트디즈니,1996
25732,19980113,조지 오브 정글 ,George Of The Jungle,1997,19980425,장편,개봉,미국,"어드벤처,코미디",미국,어드벤처,[{'peopleNm': '샘 와이즈만'}],월트디즈니,1998
26046,20090681,크리스마스 캐롤,A Christmas Carol,2009,20091126,장편,개봉,미국,"애니메이션,드라마,가족,판타지",미국,애니메이션,[{'peopleNm': '로버트 저메키스'}],월트 디즈니 픽쳐스,2009
26170,20040685,프린세스 다이어리 2,The Princess Diaries 2: Royal Engagement,2004,20041029,장편,개봉,미국,멜로/로맨스,미국,멜로/로맨스,[{'peopleNm': '게리 마샬'}],월트디즈니컴퍼니코리아(주),2004
26258,20090148,하이 스쿨 뮤지컬: 졸업반,High School Musical 3: Senior Year,2008,20090219,장편,개봉,미국,"코미디,드라마,멜로/로맨스,뮤지컬,가족",미국,코미디,[{'peopleNm': '케니 오테가'}],월트 디즈니 픽쳐스,2009
