,openYear,Genre_SF,Genre_가족,Genre_공연,Genre_공포,Genre_기타,Genre_다큐멘터리,Genre_드라마,Genre_멜로/로맨스,Genre_뮤지컬,Genre_미스터리,Genre_범죄,Genre_사극,Genre_서부극,Genre_성인물,Genre_스릴러,Genre_애니메이션,Genre_액션,Genre_어드벤처,Genre_전쟁,Genre_코미디,Genre_판타지,복합장르
61,2010,11,26,8,32,0,34,206,81,7,25,20,6,1,2,63,27,59,26,6,78,31,0
62,2011,4,5,2,6,0,23,75,20,1,2,2,3,0,0,14,8,20,1,3,28,3,0
63,2012,5,4,3,11,0,25,85,43,0,9,8,4,1,4,12,8,14,3,0,32,4,0
64,2013,7,6,4,5,2,24,97,42,0,13,4,1,0,8,24,5,28,7,1,28,6,0
65,2014,3,8,4,7,1,33,114,61,1,9,13,6,0,1,23,10,17,5,1,36,4,0
66,2015,1,7,3,8,4,25,105,90,0,10,13,10,0,0,26,12,16,7,1,34,7,0
67,2016,1,4,1,3,1,31,137,163,1,7,10,4,0,1,32,14,18,2,3,31,12,0
68,2017,1,2,1,5,18,35,134,300,1,11,17,3,0,5,37,12,19,4,0,36,2,0
69,2018,2,7,0,7,32,30,112,440,4,10,14,6,0,15,19,11,22,3,1,37,8,0
70,2019,1,11,4,10,15,37,180,435,2,11,13,5,0,30,16,15,18,4,1,39,11,0
71,2020,3,12,8,7,31,26,227,456,4,6,13,1,0,124,17,6,25,1,3,33,6,0
72,2021,3,7,20,16,9,44,305,392,10,12,14,1,0,193,18,8,22,2,1,39,4,0
73,2022,5,12,25,8,5,40,268,246,10,8,18,2,0,527,19,13,32,3,0,33,8,0
74,2023,2,3,28,14,31,33,156,80,12,13,14,2,1,354,21,13,22,4,0,23,5,0
