,movieCd,movieNm,movieNmEn,prdtYear,openDt,typeNm,prdtStatNm,nationAlt,genreAlt,repNationNm,repGenreNm,directors,companys,openYear
6585,20200222,맛있는 너가 합격,,2020,20200922,장편,개봉,한국,성인물(에로),한국,성인물(에로),[{'peopleNm': '정미나'}],(주)담화,2020
6586,20202643,너무 잘하는 형수,,2020,20200922,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,[{'peopleNm': '최찬호'}],(주)영화사가을,2020
6587,20202456,언니는 섹스티쳐,,2020,20200918,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,[{'peopleNm': '신효성'}],(주)케이알씨지,2020
6588,20201603,섹스가 좋은 그 여자,,2020,20200918,장편,개봉,한국,성인물(에로),한국,성인물(에로),[{'peopleNm': '이세일'}],(주)케이알씨지,2020
6591,20207202,가슴 큰 초희 - 무삭제판,,2019,20200918,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,[{'peopleNm': '이동준'}],미라클필름,2020
6592,20207186,18 걸그룹 승하의 눈치게임,,2020,20200917,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,[{'peopleNm': '최진철'}],라임필름,2020
6595,20206945,가슴큰새엄마-무삭제,,2020,20200916,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,[{'peopleNm': '이정석'}],스마일컨텐츠,2020
6596,20206193,섹스 소녀 3,,2020,20200915,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,[{'peopleNm': '최진철'}],케이엘 픽쳐스,2020
6597,20207110,친척동생2,,2020,20200914,장편,개봉,한국,기타,한국,기타,[{'peopleNm': '최성은'}],(주)영화사히트,2020
6598,20202617,먹어주는 유부녀,,2020,20200914,장편,개봉,한국,"멜로/로맨스,드라마",한국,멜로/로맨스,[{'peopleNm': '윤준세'}],(주)영진크리에이티브,2020
6599,20205107,19금 비밀과외,,2020,20200911,장편,개봉,한국,기타,한국,기타,[{'peopleNm': '리차드 킴'}],영화사 산들바람,2020
6600,20206527,해풍 : 바람난 여자,,2020,20200911,장편,개봉,한국,성인물(에로),한국,성인물(에로),[{'peopleNm': '리차드 킴'}],(주)룬컴퍼니,2020
6601,20206568,위험한 과외,,2020,20200911,장편,개봉,한국,성인물(에로),한국,성인물(에로),[{'peopleNm': '리차드 킴'}],(주)룬컴퍼니,2020
6602,20206528,쌍둥이 여친 과외하기 무삭제판,,2020,20200910,장편,개봉,한국,드라마,한국,드라마,[{'peopleNm': '최정자'}],주식회사 플릭스코,2020
6603,20206569,손빨래하는 여자 무삭제판,,2020,20200910,장편,개봉,한국,드라마,한국,드라마,[{'peopleNm': '최정자'}],주식회사 플릭스코,2020
6604,20206409,가슴큰엄마친구-무삭제,,2020,20200909,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,[{'peopleNm': '이정석'}],스마일컨텐츠,2020
6605,20203046,섹스인듯 촬영인듯 섹스하는 너,,2020,20200908,장편,개봉,한국,성인물(에로),한국,성인물(에로),[{'peopleNm': '정미나'}],(주)담화,2020
6606,20206786,못말리는 며느리,,2020,20200908,장편,개봉,한국,기타,한국,기타,[{'peopleNm': '최성은'}],(주)영화사히트,2020
6607,20202455,완벽한 연애,,2020,20200908,장편,개봉,한국,"멜로/로맨스,드라마",한국,멜로/로맨스,[{'peopleNm': '송정규'}],(주)나우콘텐츠,2020
6608,20204207,섹시한 이웃 자매,,2020,20200908,장편,개봉,한국,"멜로/로맨스,드라마",한국,멜로/로맨스,[{'peopleNm': '이동준'}],(주)나우콘텐츠,2020
6609,20201944,리얼섹스돌 : 사용설명서 무삭제,,2020,20200908,장편,개봉,한국,성인물(에로),한국,성인물(에로),[{'peopleNm': '정미나'}],(주)담화,2020
6611,20205405,착한 숙모 : 삼촌이 출장 간 날,,2020,20200906,장편,개봉,한국,성인물(에로),한국,성인물(에로),[{'peopleNm': '이대길'}],뷰소프트,2020
6612,20206260,예쁜 여동생 2,,2020,20200906,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,[{'peopleNm': '최진철'}],케이엘 픽쳐스,2020
6613,20205383,스와핑 : 자매의 남자들,,2020,20200906,장편,개봉,한국,성인물(에로),한국,성인물(에로),[{'peopleNm': '이대길'}],뷰소프트,2020
6616,20206098,자매의교환섹스2,,2019,20200904,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,[{'peopleNm': '천성준'}],에이원 미디어,2020
6617,20202904,마지막 사랑,,2020,20200904,장편,개봉,한국,"멜로/로맨스,드라마",한국,멜로/로맨스,[{'peopleNm': '윤준세'}],(주)영진크리에이티브,2020
6618,20206349,최면 무도 클럽,,2020,20200903,장편,개봉,한국,"성인물(에로),드라마",한국,성인물(에로),[{'peopleNm': '한동호'}],주식회사 플릭스코,2020
6619,20206623,친척동생 무삭제,,2020,20200902,장편,개봉,한국,기타,한국,기타,[{'peopleNm': '최성은'}],(주)영화사히트,2020
6620,20206537,여동생 무삭제,,2020,20200902,장편,개봉,한국,기타,한국,기타,[{'peopleNm': '최성은'}],(주)영화사히트,2020
6622,20205904,가슴큰자매들,,2020,20200902,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,[{'peopleNm': '이정석'}],스마일컨텐츠,2020
6624,20201871,오빠는 음식은 가려도 여자는 안가려 무삭제,,2020,20200901,장편,개봉,한국,성인물(에로),한국,성인물(에로),[{'peopleNm': '정미나'}],(주)담화,2020
6631,20206243,외출 3,,2020,20200928,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,[{'peopleNm': '구재은'}],(주)영화사가을,2020
6641,20201785,태백권,The Therapist : Fist of Tae-baek,2020,20200820,장편,개봉,한국,"코미디,가족,액션",한국,코미디,[{'peopleNm': '최상훈'}],(주)그노스,2020
6650,20207017,부자의교환섹스,,2020,20200918,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,[{'peopleNm': '이정석'}],스마일컨텐츠,2020
6653,20174442,뷰티풀 데이즈,Beautiful Days,2018,20181121,장편,개봉,"한국,프랑스",드라마,한국,드라마,[{'peopleNm': '윤재호'}],(주)페퍼민트앤컴퍼니,2018
6657,20204255,섹스의 세계,,2020,20200917,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,[{'peopleNm': '김종석'}],너바나 필름,2020
6661,20209482,가자 장미여관으로 4 - 무삭제판,,2020,20200910,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,[{'peopleNm': '최우성'}],컨텐츠레드,2020
6662,20100061,땅의 여자,Earth’s Women,2009,20100909,장편,개봉,한국,다큐멘터리,한국,다큐멘터리,[{'peopleNm': '권우정'}],다큐인,2010
6670,20040784,시티 오브 갓,City Of God,2002,20051104,장편,개봉,미국,"드라마,액션,스릴러,범죄",미국,드라마,"[{'peopleNm': '페르난도 메이렐레스'}, {'peopleNm': '카티아 런드'}]",와일드 번치,2005
